Assemblage	Diversity	Observed	Estimator	s.e.	LCL	UCL
BOLD:AAA3240	Species richness	2	2	0.10000000000000003	2	2.1959963984540054
BOLD:AAA3240	Shannon diversity	1.2089622263089843	1.2163917067849057	0.07927239059913113	1.0610206762422172	1.3717627373275942
BOLD:AAA3240	Simpson diversity	1.0985251634483808	1.099815157116452	0.04783925718654903	1.006051935983667	1.193578378249237
BOLD:AAA3241	Species richness	1	1	0	1	1
BOLD:AAA3241	Shannon diversity	1	1	0	1	1
BOLD:AAA3241	Simpson diversity	1	1	0	1	1
BOLD:AAA3242	Species richness	1	1	0	1	1
BOLD:AAA3242	Shannon diversity	1	1	0	1	1
BOLD:AAA3242	Simpson diversity	1	1	0	1	1
BOLD:AAA3768	Species richness	1	1	0	1	1
BOLD:AAA3768	Shannon diversity	1	1	0	1	1
BOLD:AAA3768	Simpson diversity	1	1	0	1	1
BOLD:AAA3769	Species richness	1	1	0	1	1
BOLD:AAA3769	Shannon diversity	1	1	0	1	1
BOLD:AAA3769	Simpson diversity	1	1	0	1	1
BOLD:AAA3770	Species richness	1	1	0	1	1
BOLD:AAA3770	Shannon diversity	1	1	0	1	1
BOLD:AAA3770	Simpson diversity	1	1	0	1	1
BOLD:AAA3771	Species richness	1	1	0	1	1
BOLD:AAA3771	Shannon diversity	1	1	0	1	1
BOLD:AAA3771	Simpson diversity	1	Inf	NA	NA	NA
BOLD:AAA3772	Species richness	1	1	0	1	1
BOLD:AAA3772	Shannon diversity	1	1	0	1	1
BOLD:AAA3772	Simpson diversity	1	1	0	1	1
BOLD:AAA3971	Species richness	4	4.49537037037037	1.524750218389293	4	7.483825883832965
BOLD:AAA3971	Shannon diversity	1.310945039065917	1.335506433188522	0.11645727942866367	1.107254359770824	1.56375850660622
BOLD:AAA3971	Simpson diversity	1.1196006911115377	1.1208535402521853	0.0494862731934716	1.023862227063871	1.2178448534404995
BOLD:AAA3972	Species richness	2	2	0	2	2
BOLD:AAA3972	Shannon diversity	1.837777361789406	1.8632098498783523	0.1319099584495885	1.6046710821149839	2.1217486176417206
BOLD:AAA3972	Simpson diversity	1.7176913425345044	1.752631578947369	0.18831306963553482	1.3835447446435376	2.1217184132512004
BOLD:AAA5395	Species richness	2	2	0.4923659639173309	2	2.965019556491316
BOLD:AAA5395	Shannon diversity	1.0777504726871927	1.086674546171382	0.06994647206739334	0.9495819800736542	1.2237671122691098
BOLD:AAA5395	Simpson diversity	1.0289794204115916	1.0294117647058842	0.029795871820982797	0.9710129290487861	1.0878106003629824
BOLD:AAA5418	Species richness	2	2	0	2	2
BOLD:AAA5418	Shannon diversity	1.9311390062938603	1.9483180844864085	0.08944162691129105	1.7730157170216094	2.1236204519512074
BOLD:AAA5418	Simpson diversity	1.8704663212435233	1.9000000000000037	0.14187162578953952	1.6219367230243626	2.178063276975645
