processid	bin_uri	order_name	lat	lon	country	hemisphere	lat_bin	lat_max	lat_mid	lat_min	lat_band	continent
DBAFI289-13	BOLD:ACF8210	Anura	-23.345	-45.136	Brazil	Southern	10	-20	-25	-30	10	Americas
GBAP2422-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe
GBAP2441-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe
GBMND61770-21	BOLD:ACF9126	Anura	-14.5099	-41.0671	Brazil	Southern	9	-10	-15	-20	9	Americas
WAF038-15	BOLD:ACY1808	Anura	6.24246	-0.5571	Ghana	Northern	7	10	5	0	7	Africa
WAMAL160-10	BOLD:AAT9134	Anura	-32.8333	115.65	Australia	Southern	11	-30	-35	-40	11	Oceania
ABR040-13	BOLD:ACJ9922	Anura	8.892	-78.562	Panama	Northern	7	10	5	0	7	Americas
ABR054-13	BOLD:AAA5632	Anura	8.901	-78.57	Panama	Northern	7	10	5	0	7	Americas
BSECO348-11	BOLD:AAT9778	Anura	7.041	-72.985	Colombia	Northern	7	10	5	0	7	Americas
GBAP1847-13	BOLD:ACH2793	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBAP20457-19	BOLD:AAE6666	Anura	30.3766	-98.0421	United States	Northern	4	40	35	30	4	Americas
GBAP2371-13	BOLD:AAF4233	Anura	40.365	-3.65163	Spain	Northern	3	50	45	40	3	Europe
GBAP5115-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBAP5226-15	BOLD:ACS5262	Anura	38.0733	104.691	China	Northern	4	40	35	30	4	Asia
GBCOC3256-23	BOLD:AEL3912	Anura	33.2576	104.249	China	Northern	4	40	35	30	4	Asia
GBMAB2179-15	BOLD:ACW1101	Anura	-19.0416	46.6849	Madagascar	Southern	9	-10	-15	-20	9	Africa
GBMIN92943-17	BOLD:ADD4511	Anura	29.919	78.126	India	Northern	5	30	25	20	5	Asia
