																																							
	Species	Common Name(s)	Superior	Michigan	Huron	Erie	Ontario	St. Marys River	Huron Erie Corridor	Niagara River	Aerial/Terrestrial	Benthic	Limnetic	Littoral	Tributaries/Wetlands	BOLD Entry	Other Genetic Info	COL Accepted Name	Catalogue of Life Link	Class	Family	Coarse Grouping	Fine Grouping	ID Level	ITIS Accepted Name	ITIS URL	Introduction Source	Natural History Link	Notes	Order	Origin	Phylum	Reference (for Laurentian Great Lakes Occurrence)	Reference (for locations discovered)					
	Acipenser fulvescens	lake sturgeon	X	X	X	X	X		X			X	X	X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Acipenser+fulvescens&searchTax=Search+Taxonomy		Acipenser fulvescens: Rafinesque	1817	www.catalogueoflife.org/col/details/species/id/ebc713afa86464a0cfb313955a1db149	Actinopterygii	Acipenseridae	gamefish	sturgeon	Species	Acipenser fulvescens: Rafinesque	1817	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=161071#null		http://www.ontariofishes.ca/fish_detail.php?FID=6		Acipenseriformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Amia calva	bowfin/ beaverfish/ blackfish/ bonnetmouth/ cottonfish/ cypress trout/ freshwater dogfish/ grindle or grinnel/ john a. grindle/ lawyer/ marshfish/ scaled ling/ speckled cat/ western mudfish		X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Amia+calva&searchTax=Search+Taxonomy		Amia calva: Linnaeus	1766	www.catalogueoflife.org/col/details/species/id/d526fe4bb2cd5cf0d8edcbee9b0a07c4	Actinopterygii	Amiidae	roughfish	bowfin	Species	Amia calva: Linnaeus	1766	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=161104#null		http://www.ontariofishes.ca/fish_detail.php?FID=10		Amiiformes	Native	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Anguilla rostrata	american eel/ common eel/ freshwater eel/ silver eel	X	X	X	X	X					X			X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Anguilla+rostrata&searchTax=Search+Taxonomy		Anguilla rostrata: (Lesueur	1817)	www.catalogueoflife.org/col/details/species/id/4968538bd33fcb56894a6edec41f4660	Actinopterygii	Anguillidae	roughfish	eel	Species	Anguilla rostrata: (Lesueur	1817)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=161127#null	native to L. Ontario	https://nas.er.usgs.gov/queries/greatLakes/FactSheet.aspx?SpeciesID=310&Potential=N&Type=0&HUCNumber=DGreatLakes		Anguilliformes	RangeExp	Chordata	Cudmore-Vokey & Crossman 2000	Erie: Jude & Pappas 1992; Ontario: Cudmore-Vokey & Crossman 2000; Michigan: Jude & Pappas 1992; Huron/Superior: Roth et al. 2012			
	Labidesthes sicculus	brook silverside	X	X	X	X	X		X					X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Labidesthes+sicculus&searchTax=Search+Taxonomy		Labidesthes sicculus: (Cope	1865)	www.catalogueoflife.org/col/details/species/id/cdd44a70849b3e9b7a9df09e0031f24e	Actinopterygii	Atherinopsidae	not fished	silverside	Species	Labidesthes sicculus: (Cope	1865)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=166016#null	Native to St. Lawrence River and Great Lakes (except L. Superior)	https://nas.er.usgs.gov/queries/greatLakes/FactSheet.aspx?SpeciesID=318&Potential=N&Type=0&HUCNumber=DGreatLakes		Atheriniformes	RangeExp	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000; Superior: Jude & Pappas 1992			
	Alosa aestivalis	blueback herring/ blueback glut herring/ blueback shad/ river herring/ shad herring					X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Alosa+aestivalis&searchTax=Search+Taxonomy		Alosa aestivalis: (Mitchill	1814)	www.catalogueoflife.org/col/details/species/id/de2d6e81388e04c77dfcbac08991620f	Actinopterygii	Clupeidae	roughfish	herring/shad	Species	Alosa aestivalis: (Mitchill	1814)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=161703#null	N.A. Atlantic coast	https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=488		Clupeiformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Alosa chrysochloris	 blue herring/ golden shad/ green herring/ river herring/ skipjack herring or shad		X		X									X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Alosa+chrysochloris&searchTax=Search+Taxonomy		Alosa chrysochloris: (Rafinesque	1820)	www.catalogueoflife.org/col/details/species/id/7cf75db17d635de14c502e5c359944a5	Actinopterygii	Clupeidae	roughfish	herring/shad	Species	Alosa chrysochloris: (Rafinesque	1820)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=161707#null	N.A. Atlantic coast/ N.A. inland	https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=489		Clupeiformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Alosa pseudoharengus	alewife/ anadromous alewife/ bigeye herring/ branch herring/ clipped roefish/ corned alewife/ freshwater herring/ gray(back) herring/ kyak/ river herring/ sawbelly/ white herring	X	X	X	X	X		X				X		X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Alosa+pseudoharengus&searchTax=Search+Taxonomy		Alosa pseudoharengus: (Wilson	1811)	www.catalogueoflife.org/col/details/species/id/831949ac5286c6e45bc4cb4d4e0f7d2c	Actinopterygii	Clupeidae	roughfish	herring/shad	Species	Alosa pseudoharengus: (Wilson	1811)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=161706#null	N.A. Atlantic coast	http://www.ontariofishes.ca/fish_detail.php?FID=14		Clupeiformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Alosa sapidissima	American shad/ Atlantic shad/ common shad/ Connecticut river shad/ herring jack/ north river shad/ Potomac shad/ Susquehanna shad/ white shad		X	X	X	X						X		X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Alosa+sapidissima&searchTax=Search+Taxonomy		Alosa sapidissima: (Wilson	1811)	www.catalogueoflife.org/col/details/species/id/540d73069202e6462f72e6981a5d1e4c	Actinopterygii	Clupeidae	roughfish	herring/shad	Species	Alosa sapidissima: (Wilson	1811)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=161702#null	N.A. Atlantic coast/ N.A. Pacific coast	http://www.ontariofishes.ca/fish_detail.php?FID=15		Clupeiformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Dorosoma cepedianum	gizzard shad/ American gizzard shad/ eastern gizzard shad/ gizzard mud/ gizzard nanny shad/ gizzard winter shad/ hickory shad/ mud shad/ nanny shad/ skipjack/ winter shad	X	X	X	X	X		X				X	X	X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Dorosoma+cepedianum&searchTax=Search+Taxonomy		Dorosoma cepedianum: (Lesueur	1818)	www.catalogueoflife.org/col/details/species/id/5249b5fbdb185a007c71138def9ec22f	Actinopterygii	Clupeidae	roughfish	herring/shad	Species	Dorosoma cepedianum: (Lesueur	1818)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=161737#null	Native to Southern Great Lakes Region	https://nas.er.usgs.gov/queries/greatLakes/FactSheet.aspx?SpeciesID=492&Potential=N&Type=0&HUCNumber=DGreatLakes		Clupeiformes	RangeExp	Chordata	Cudmore-Vokey & Crossman 2000	Cudmore-Vokey & Crossman 2000			
	Carpiodes carpio	river carpsucker				X	X								X	http://v4.boldsystems.org/index.php/Taxbrowser_Taxonpage?taxon=Carpiodes+carpio&searchTax=Search+Taxonomy		Carpiodes carpio: (Rafinesque	1820)	www.catalogueoflife.org/col/details/species/id/7c04829ac906e145082bd4c51b83d2af	Actinopterygii	Catostomidae�	roughfish	sucker	Species	Carpiodes carpio: (Rafinesque	1820)	https://itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=163919#null	N.A. inland	https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=341	Potential invader: Cudmore and Crossman	Cypriniformes	Introduced	Chordata	Cudmore-Vokey & Crossman 2000	Roth et al. 2012; Ontario: Crossman & Van Meter 1979			
