Table. Maximum Likelihood analysis of substitution models
Model	Parameters	BIC	AICc	lnL	(+I)	(+G)	R	f(A)	f(T)	f(C)	f(G)	r(AT)	r(AC)	r(AG)	r(TA)	r(TC)	r(TG)	r(CA)	r(CT)	r(CG)	r(GA)	r(GT)	r(GC)
T92+G+I	347	34574.974	31269.202	-15286.414	0.31	0.29	179.64	0.262	0.262	0.238	0.238	0.001	0.001	0.237	0.001	0.237	0.001	0.001	0.261	0.001	0.261	0.001	0.001
K2+G+I	346	34600.286	31304.034	-15304.837	0.31	0.30	177.59	0.250	0.250	0.250	0.250	0.001	0.001	0.249	0.001	0.249	0.001	0.001	0.249	0.001	0.249	0.001	0.001
GTR+G+I	353	34682.010	31319.119	-15305.331	0.31	0.28	199.64	0.220	0.304	0.284	0.192	0.000	0.003	0.242	0.000	0.230	0.000	0.002	0.245	0.000	0.278	0.000	0.000
HKY+G+I	349	34728.086	31403.275	-15351.437	0.31	0.32	177.31	0.220	0.304	0.284	0.192	0.001	0.001	0.191	0.001	0.282	0.001	0.001	0.302	0.001	0.219	0.001	0.001
TN93+G+I	350	34749.195	31414.864	-15356.224	0.31	0.32	136.75	0.220	0.304	0.284	0.192	0.001	0.001	0.186	0.001	0.286	0.001	0.001	0.306	0.001	0.214	0.001	0.001
T92+I	346	37069.930	33773.678	-16539.659	0.31	n/a	133.09	0.262	0.262	0.238	0.238	0.001	0.001	0.236	0.001	0.236	0.001	0.001	0.260	0.001	0.260	0.001	0.001
K2+I	345	37073.753	33787.021	-16547.337	0.31	n/a	132.41	0.250	0.250	0.250	0.250	0.001	0.001	0.248	0.001	0.248	0.001	0.001	0.248	0.001	0.248	0.001	0.001
HKY+I	348	37140.222	33824.930	-16563.271	0.31	n/a	132.38	0.220	0.304	0.284	0.192	0.001	0.001	0.190	0.001	0.282	0.001	0.001	0.301	0.001	0.218	0.001	0.001
GTR+I	352	37140.968	33787.598	-16540.577	0.31	n/a	149.10	0.220	0.304	0.284	0.192	0.000	0.004	0.196	0.000	0.277	0.000	0.003	0.296	0.000	0.224	0.000	0.000
TN93+I	349	37150.229	33825.418	-16562.508	0.31	n/a	132.04	0.220	0.304	0.284	0.192	0.001	0.001	0.195	0.001	0.277	0.001	0.001	0.296	0.001	0.224	0.001	0.001
GTR+G	352	42193.845	38840.474	-19067.016	n/a	0.22	90.67	0.220	0.304	0.284	0.192	0.003	0.003	0.247	0.002	0.222	0.000	0.003	0.237	0.000	0.283	0.000	0.000
T92+G	346	42206.317	38910.065	-19107.852	n/a	0.21	146.03	0.262	0.262	0.238	0.238	0.001	0.001	0.236	0.001	0.236	0.001	0.001	0.260	0.001	0.260	0.001	0.001
K2+G	345	42225.604	38938.872	-19123.263	n/a	0.22	145.92	0.250	0.250	0.250	0.250	0.001	0.001	0.248	0.001	0.248	0.001	0.001	0.248	0.001	0.248	0.001	0.001
HKY+G	348	42273.991	38958.700	-19130.156	n/a	0.20	147.09	0.220	0.304	0.284	0.192	0.001	0.001	0.190	0.001	0.282	0.001	0.001	0.302	0.001	0.219	0.001	0.001
TN93+G	349	42288.915	38964.103	-19131.851	n/a	0.21	135.26	0.220	0.304	0.284	0.192	0.001	0.001	0.187	0.001	0.286	0.001	0.001	0.305	0.001	0.214	0.001	0.001
JC+G+I	345	43786.031	40499.299	-19903.476	0.31	0.25	0.50	0.250	0.250	0.250	0.250	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083
JC+I	344	45906.322	42629.110	-20969.388	0.31	n/a	0.50	0.250	0.250	0.250	0.250	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083	0.083
