	AveExpr	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	P.value.BasalvsLP	P.value.BasalvsML	P.value.LPvsML	Results.BasalvsLP	Results.BasalvsML	Results.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
497097	-1.77882649312417	7.4393712026409	6.9446539891543	-0.494717213486595	12.0415074379164	12.4112628561265	0	8.00690735260099e-07	6.19730222498457e-07	0.809966137873195	1	1	0	497097	Xkr4	chr1
20671	-1.41863984193466	2.93090015573715	2.29483780632154	-0.636062349415611	2.11804150339922	1.48979970114771	0	0.0339476804669655	0.0889569890833737	0.705085301302593	0	0	0	20671	Sox17	chr1
27395	4.20689271826405	0.469716977346532	0.0112130156729107	-0.458503961673622	0	0	0	0.984295506057918	0.999937001550468	0.987913001041733	0	0	0	27395	Mrpl15	chr1
18777	5.28049221636236	0.279393369072927	-0.39301173156351	-0.672405100636436	0	0	0	0.999226933253417	0.998106899056921	0.972021061108719	0	0	0	18777	Lypla1	chr1
21399	4.99943989278063	0.35764560030966	0.382314720434858	0.0246691201251981	0	0	0	0.999373066554086	0.999246332249391	0.999991903567394	0	0	0	21399	Tcea1	chr1
58175	1.60897335448273	-5.50062768549913	-5.04998074674898	0.450646938750153	-17.739254270291	-15.9403369346282	0	3.31272550970192e-08	7.82415294878191e-08	0.996898816701064	-1	-1	0	58175	Rgs20	chr1
108664	5.76090213620451	-0.827869786989407	-1.05801847720315	-0.230148690213745	0	-0.457992690180013	0	0.894302599045226	0.329316237340207	0.999924241288125	0	0	0	108664	Atp6v1h	chr1
12421	6.29252775566967	-0.945182596324325	-0.341566026440305	0.60361656988402	0	0	0	0.64279834933694	0.999163121361765	0.990967644503278	0	0	0	12421	Rb1cc1	chr1
319263	5.95214881940666	-0.0870103561763491	0.143609654562417	0.230620010738766	0	0	0	0.99992037840422	0.999849000343868	0.99977593903799	0	0	0	319263	Pcmtd1	chr1
59014	5.6055180962507	1.0041660476836	1.29181560605612	0.287649558372515	0.0206195866566777	1.4446548492727	0	0.492019791343102	0.0924927807721809	0.997160560491785	0	0	0	59014	Rrs1	chr1
76187	0.506484750949736	-1.32591294529518	-1.3755725115586	-0.0496595662634151	-1.0446816239632	-1.23042270734964	0	0.16275148525531	0.126044424187963	0.99817189950665	0	0	0	76187	Adhfe1	chr1
72481	-1.10338237392226	-1.1083768945701	-1.812049960418	-0.703673065847905	-0.304369581252138	-2.38022390112418	0	0.384293387265072	0.0216382915059166	0.813693138015861	0	0	0	72481	2610203C22Rik	chr1
76982	-0.957688378361825	-0.312661074719685	0.567840861304201	0.880501936023886	0	0	0	0.942293863542186	0.836559313574152	0.613300787388256	0	0	0	76982	Vxn	chr1
17864	3.15117765298934	0.843534939174168	1.31189776356032	0.468362824386154	0	1.39330683680766	0	0.75049872039988	0.099737002794683	0.976849681339512	0	0	0	17864	Mybl1	chr1
70675	6.09896219526204	-0.342498529869011	-0.0420150916537834	0.300483438215227	0	0	0	0.99871701853769	0.999949767058983	0.999416300013454	0	0	0	70675	Vcpip1	chr1
170755	2.97811461061281	1.5590774578409	0.362681960322051	-1.19639549751885	2.73643079584791	0	-0.985136615513962	0.0122891768003259	0.996095424445208	0.17611005093349	0	0	0	170755	Sgk3	chr1
620986	1.87477273214897	1.11329368953591	0.07963011199057	-1.03366357754534	0.564614405980729	0	-0.1728509098541	0.293586084605547	0.999723404891624	0.433443253685657	0	0	0	620986	NA	NA
73824	3.54358945805452	0.355228826843569	0.197554867024022	-0.157673959819547	0	0	0	0.998404306497981	0.999678164740102	0.999777480174615	0	0	0	73824	Snhg6	chr1
266793	-1.60676965080987	1.20573536783359	1.25330182052958	0.0475664526959876	0.27019246926229	0.340323081259152	0	0.406329359370887	0.37878857345674	0.979683892016103	0	0	0	266793	Snord87	chr1
100038398	-0.440104919479042	0.928451339156839	0.784829135703237	-0.143622203453602	0	0	0	0.572745151970904	0.716746234759659	0.981493800134137	0	0	0	100038398	NA	NA
26754	6.0246279543947	0.0427996071366055	-0.173137586628119	-0.215937193764725	0	0	0	0.999990314228232	0.999946254916111	0.999947774366566	0	0	0	26754	Cops5	chr1
211660	4.7407295852702	-0.370605840119736	-0.0359818745756559	0.33462396554408	0	0	0	0.985820813165347	0.999412517844068	0.990947014404339	0	0	0	211660	Cspp1	chr1
211673	7.70188993734151	-0.431552136146794	-0.260422090100816	0.171130046045978	0	0	0	0.995575417053447	0.99900931589668	0.999724634364067	0	0	0	211673	Arfgef1	chr1
329093	-2.18166221616581	7.52587594314678	10.1109608414305	2.58508489828374	15.6718415553015	19.8878312579657	3.13299959977525	9.63312621995672e-08	1.48182032393821e-08	0.00664815978351984	1	1	0	329093	Cpa6	chr1
109294	2.09369114282939	1.0058835604024	0.754272082257504	-0.251611478144895	0.01095493608959	0	0	0.498416563679842	0.682187964304799	0.924523435117981	0	0	0	109294	Prex2	chr1
320492	-3.42490475290431	5.19501700284042	4.03818909522658	-1.15682790761383	5.634125092171	4.28492494090512	-0.192566961786445	0.000222203998528022	0.00124789509258569	0.440074181882915	1	1	0	320492	A830018L16Rik	chr1
240725	2.79026218954488	3.46002671074014	4.14867073090049	0.688644020160343	9.07623064680956	11.3591391754822	0	6.60522018247241e-06	1.16286317404799e-06	0.836904775997613	1	1	0	240725	Sulf1	chr1
240726	-1.45277199959808	0.675312449770711	1.15557942990136	0.480266980130646	0	0.359595225844112	0	0.766534118441997	0.364506664588642	0.870944089666396	0	0	0	240726	Slco5a1	chr1
383491	-2.20823149838043	0.0440112292763282	0.766878504641856	0.722867275365528	0	0	0	0.988134006258042	0.667697970115606	0.698760910261277	0	0	0	383491	Prdm14	chr1
17978	7.17017091211131	-0.259463502068837	-0.403202362047586	-0.143738859978749	0	0	0	0.999901418497526	0.999559854937491	0.999981512342317	0	0	0	17978	Ncoa2	chr1
72265	7.21714901167733	-1.04866469925729	-0.596809012681602	0.451855686575685	-0.395207237037738	0	0	0.351293609510093	0.99470494288218	0.999384431740993	0	0	0	72265	Tram1	chr1
212442	3.68285452555973	-1.13889416226089	-1.93518466294447	-0.796290500683575	-0.699003934295279	-4.90356653538934	0	0.251770201019651	0.000523592796049579	0.861296198114211	0	-1	0	212442	Lactb2	chr1
14048	-0.317109014981425	6.58012079329441	7.59327383356583	1.01315304027142	9.31391072709361	10.4667912362841	0.0185824111947525	5.85338500268241e-06	2.43610841511156e-06	0.503174720864463	1	1	0	14048	Eya1	chr1
17681	-0.409004343132423	-3.10081232098016	-5.20769431047652	-2.10688198949636	-4.32288857708641	-9.08191203143997	-3.29237497601796	0.00115624689770071	6.82208563932729e-06	0.00517518452504384	-1	-1	0	17681	Msc	chr1
21749	3.37773413770037	0.48441011562745	0.258443774755235	-0.225966340872215	0	0	0	0.994257860133808	0.9994200069436	0.99953985969688	0	0	0	21749	Terf1	chr1
226866	1.46826632907038	6.98950280955416	7.14569517689841	0.156192367344249	16.0742781710821	17.5049761478897	0	7.71532226607141e-08	3.86982327320746e-08	0.973958365762147	1	1	0	226866	Sbspon	chr1
19989	8.83109929126367	-0.000286124356620121	0.305177216070083	0.305463340426703	0	0	0	0.99999992977052	0.999779867978655	0.999878688499743	0	0	0	19989	Rpl7	chr1
98711	5.54484376670715	0.360486511581979	0.649018645117795	0.288532133535815	0	0	0	0.993908059899216	0.941364877499702	0.997371267758885	0	0	0	98711	Rdh10	chr1
29819	4.52272768981464	0.00271672357985686	0.25619741510913	0.253480691529274	0	0	0	0.999999154040967	0.999831650031431	0.999868751158519	0	0	0	29819	Stau2	chr1
66799	4.47204386973968	0.573313849762418	0.594046582251572	0.0207327324891544	0	0	0	0.992499016097793	0.99116042015952	0.999990042621168	0	0	0	66799	Ube2w	chr1
67923	5.6531794686532	0.940326189093719	0.672678268755512	-0.267647920338207	0	0	0	0.659078806982226	0.977763012565166	0.999756729593602	0	0	0	67923	Eloc	chr1
70397	4.08855801576597	0.843884281116908	0.339947905789057	-0.503936375327852	0	0	0	0.847479660997474	0.999427174030248	0.996664221819842	0	0	0	70397	Tmem70	chr1
17087	1.39630226298357	-2.00070662874234	-1.36543473697831	0.635271891764024	-4.19642423581099	-1.51600928151512	0	0.00136699640042705	0.0831987500378253	0.938270816394372	-1	0	0	17087	Ly96	chr1
57339	1.87944628908817	0.127575068182275	1.68944107089627	1.56186600271399	0	3.57156482772578	2.9533839929076	0.999617840429784	0.00338821001844598	0.00873705750878745	0	1	0	57339	Jph1	chr1
94227	2.01597969627162	4.03814930996909	5.07291224744884	1.03476293747975	4.22256654810343	5.31759529409519	0.0417724904740098	0.0013626238838136	0.000326920616631619	0.503337316661668	1	1	0	94227	Pi15	chr1
83691	2.29382042363054	4.58054184211362	6.28223818960335	1.70169634748973	10.6034796573832	13.5545893815971	1.71093004756912	2.01745692424402e-06	2.99921464967738e-07	0.0619937916063122	1	1	0	83691	Crispld1	chr1
21419	6.3015822943192	0.364452336572284	-0.193121720734364	-0.557574057306648	0	0	0	0.997390019074705	0.999420341875832	0.988750124124138	0	0	0	21419	Tfap2b	chr1
241035	-3.32466143340713	-3.05212369785045	-4.22593538231814	-1.17381168446769	-2.52272491128268	-4.10719531784088	-0.258039654306563	0.0177147306144755	0.00161611311486529	0.407021684462692	0	-1	0	241035	Pkhd1	chr1
